,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
792,2013-03-31,日本,0,1,JPN,3939730.519828689,1.797938027774218,6.108890976688111,2013
793,2013-06-30,日本,1.8,2,JPN,2034230.796668465,0.9300302175265109,3.8347510754983243,2013
794,2013-09-30,日本,3.1,3,JPN,2522407.319956006,1.159683814776055,4.922077150398032,2013
795,2013-12-31,日本,3.1,4,JPN,3459905.823166927,1.577306176122735,5.7586532661706835,2013
796,2014-03-31,日本,2.9,1,JPN,3876808.12631001,1.7800037895235459,6.09141411031073,2014
797,2014-06-30,日本,-0.1,2,JPN,1998493.5598005552,0.9673734502543136,3.8835675817350324,2014
798,2014-09-30,日本,-1.1,3,JPN,2823219.0364917642,1.2914940835927573,4.890978570677975,2014
799,2014-12-31,日本,-0.5,4,JPN,3316308.8663455658,2.0198580485040556,6.42584303402199,2014
800,2015-03-31,日本,0.3,1,JPN,3705856.876217533,1.6913560039801157,5.678722721947726,2015
801,2015-06-30,日本,2.4,2,JPN,1807845.8163672118,0.9271633885897049,3.883621212055319,2015
802,2015-09-30,日本,2.2,3,JPN,2735920.2096698093,1.2866218304139834,4.80991975794043,2015
803,2015-12-31,日本,1.5,4,JPN,3166399.663223118,1.4617090240294661,5.449972046815259,2015
804,2016-03-31,日本,1,1,JPN,3667309.016186246,1.697353049686518,6.156216604277212,2016
805,2016-06-30,日本,0.5,2,JPN,1913943.4498463273,0.9808794843998303,4.663724424161353,2016
806,2016-09-30,日本,0.5,3,JPN,2564788.733245556,1.2129945587961137,5.070739836476641,2016
807,2016-12-31,日本,1,4,JPN,3266616.8830005224,1.513004986327929,5.4535334804593845,2016
808,2017-03-31,日本,1,1,JPN,4114730.2332891044,1.8717991871231987,6.283928716131375,2017
809,2017-06-30,日本,1.4,2,JPN,2349819.2997165704,1.0699938147763526,4.328916335374795,2017
810,2017-09-30,日本,2,3,JPN,3037990.809895868,1.3824246105800195,4.798862745602194,2017
811,2017-12-31,日本,2.2,4,JPN,3968837.299493855,1.8052751760584451,6.139255328318938,2017
812,2018-03-31,日本,1.4,1,JPN,4485070.029770179,2.039986648998736,6.607088032036992,2018
813,2018-06-30,日本,1.3,2,JPN,2235409.113186562,0.10167163210648973,1.3241796154400753,2018
814,2018-09-30,日本,0,3,JPN,2920401.446549516,1.3293157323712057,4.885359672216365,2018
815,2018-12-31,日本,-0.1,4,JPN,3601043.596745009,1.637988267329102,5.605962268378477,2018
816,2019-03-31,日本,-0.2,1,JPN,4134017.9064080273,1.8813035212529927,6.34769122486129,2019
817,2019-06-30,日本,0,2,JPN,2256441.116478735,1.029450857047235,4.2578235851224875,2019
818,2019-09-30,日本,0.6,3,JPN,3082423.0828640554,1.4032692903750383,5.03228015044902,2019
819,2019-12-31,日本,-2,4,JPN,3722929.516589219,1.693351357980369,5.65632548574029,2019
820,2020-03-31,日本,-1.7,1,JPN,3732286.2529416736,1.7045566653986157,5.9058794580529534,2020
821,2020-06-30,日本,-9.7,2,JPN,2198313.549677457,1.0004626229516178,4.295272424557657,2020
822,2020-09-30,日本,-5,3,JPN,2536014.5865260065,1.1535671457142909,4.219072334677715,2020
823,2020-12-31,日本,-0.4,4,JPN,3715529.893192273,1.690144658888805,6.022836830008271,2020
824,2021-03-31,日本,-0.6,1,JPN,4431848.272763468,0.11625464038395221,1.6628189880528998,2021
825,2021-06-30,日本,8,2,JPN,2331665.306412069,0.06116625553924646,1.0142063003148967,2021
826,2021-09-30,日本,2.3,3,JPN,2944025.8561487533,0.07722748478967127,1.2703611029307773,2021
827,2021-12-31,日本,1.6,4,JPN,3601436.6293451954,0.09447123385000812,1.3623414319441063,2021
828,2022-03-31,日本,0.7,1,JPN,4643902.935731618,0.12181693583547597,1.7010869358645213,2022
829,2022-06-30,日本,1.7,2,JPN,2494081.509455584,0.06542415309614967,1.0139826956254685,2022
830,2022-09-30,日本,1.7,3,JPN,2105388.266534231,0.05522925702816827,0.8781347945646107,2022
831,2022-12-31,日本,0.7,4,JPN,3917389.736393239,0.10275923463884856,1.4666038164024464,2022
832,2023-03-31,日本,2.6,1,JPN,4609379.072108673,0.12091184532567674,1.6921034727757769,2023
833,2023-06-30,日本,2.2,2,JPN,2149019.2763171177,0.056373865698316566,0.922932063692684,2023
834,2023-09-30,日本,1.5,3,JPN,3312218.932046553,0.08688474380478121,1.2687608008717748,2023
